col_0,col_1,col_2
27,14,82
82,65,59
56,14,7
17,13,2
28,76,29
85,88,87
33,45,2
54,3,68
0,94,99
99,73,88
66,41,16
22,87,80
86,34,90
66,94,88
6,19,50
0,34,95
44,29,17
37,55,69
52,13,75
26,34,75
45,95,21
70,47,83
75,60,18
63,97,4
29,68,12
85,26,15
67,29,16
97,53,92
95,10,85
78,76,39
94,37,86
75,18,7
29,27,89
15,0,59
81,91,86
27,77,63
0,50,44
49,76,41
70,11,17
22,49,6
20,1,20
79,0,79
65,15,10
20,96,84
73,70,35
67,39,2
58,2,55
63,77,39
5,18,61
87,17,13
17,94,81
1,9,14
19,97,70
48,81,30
66,72,87
32,38,13
85,66,7
0,37,36
79,15,41
65,97,76
9,90,23
11,29,60
36,85,86
88,90,63
26,33,47
45,0,47
35,38,67
9,74,29
23,20,49
62,25,4
29,64,46
77,0,41
35,23,60
25,3,77
71,61,49
44,91,24
97,94,9
45,85,6
95,33,12
45,90,42
5,42,21
30,22,8
5,93,57
34,43,22
72,20,4
24,2,83
88,9,76
33,33,24
41,15,90
15,17,36
90,47,47
73,19,73
7,97,83
4,88,5
23,25,83
21,96,36
49,98,19
2,53,97
74,67,93
26,84,21
